Angle (deg),X Position (cm),Height (um)
34.516000,-0.056743,36.990946
34.618000,-0.056789,37.020976
34.720000,-0.056835,37.051006
34.814000,-0.056927,37.111066
34.908000,-0.056973,37.141096
35.008000,-0.057019,37.171126
35.110000,-0.057019,37.171126
35.212000,-0.057065,37.201156
35.315000,-0.057112,37.231186
35.417000,-0.057158,37.261216
35.522000,-0.057250,37.321276
35.631000,-0.057342,37.381336
35.732000,-0.057388,37.411366
35.830000,-0.057434,37.441396
35.930000,-0.057434,37.441396
36.027000,-0.057434,37.441396
36.125000,-0.057480,37.471426
36.221000,-0.057526,37.501456
36.324000,-0.057618,37.561516
36.418000,-0.057618,37.561516
36.514000,-0.057618,37.561516
36.613000,-0.057664,37.591546
36.715000,-0.057664,37.591546
36.809000,-0.057664,37.591546
36.903000,-0.057664,37.591546
37.004000,-0.057756,37.651606
37.107000,-0.057803,37.681636
37.210000,-0.057849,37.711666
37.313000,-0.057849,37.711666
37.415000,-0.057849,37.711666
37.520000,-0.057895,37.741696
37.629000,-0.057941,37.771726
37.730000,-0.057895,37.741696
37.828000,-0.057941,37.771726
37.927000,-0.057987,37.801756
38.023000,-0.057895,37.741696
38.120000,-0.057987,37.801756
38.215000,-0.058033,37.831786
38.318000,-0.058079,37.861816
38.414000,-0.058033,37.831786
38.510000,-0.058079,37.861816
38.610000,-0.058033,37.831786
38.712000,-0.058079,37.861816
38.807000,-0.058125,37.891846
38.901000,-0.058125,37.891846
39.003000,-0.058079,37.861816
39.105000,-0.058125,37.891846
39.208000,-0.058171,37.921876
39.311000,-0.058125,37.891846
39.413000,-0.058171,37.921876
39.519000,-0.058171,37.921876
39.627000,-0.058217,37.951906
39.727000,-0.058217,37.951906
39.825000,-0.058217,37.951906
39.925000,-0.058217,37.951906
40.021000,-0.058217,37.951906
40.118000,-0.058217,37.951906
40.214000,-0.058217,37.951906
40.318000,-0.058217,37.951906
40.413000,-0.058217,37.951906
40.510000,-0.058217,37.951906
40.609000,-0.058217,37.951906
40.711000,-0.058171,37.921876
40.805000,-0.058171,37.921876
40.901000,-0.058125,37.891846
41.003000,-0.058079,37.861816
41.106000,-0.058125,37.891846
41.209000,-0.058079,37.861816
41.311000,-0.058033,37.831786
41.411000,-0.057987,37.801756
41.516000,-0.057941,37.771726
41.625000,-0.057941,37.771726
41.725000,-0.057895,37.741696
41.822000,-0.057849,37.711666
41.922000,-0.057756,37.651606
42.018000,-0.057803,37.681636
42.115000,-0.057710,37.621576
42.211000,-0.057618,37.561516
42.314000,-0.057618,37.561516
42.410000,-0.057434,37.441396
42.507000,-0.057342,37.381336
42.608000,-0.057250,37.321276
42.709000,-0.057112,37.231186
42.803000,-0.057065,37.201156
42.899000,-0.056973,37.141096
43.001000,-0.056881,37.081036
43.104000,-0.056789,37.020976
43.206000,-0.056743,36.990946
43.308000,-0.056651,36.930886
43.407000,-0.056559,36.870826
43.513000,-0.056559,36.870826
43.621000,-0.056467,36.810766
43.721000,-0.056375,36.750706
43.818000,-0.056328,36.720676
43.918000,-0.056190,36.630586
44.014000,-0.056144,36.600556
44.111000,-0.056098,36.570526
44.208000,-0.056006,36.510466
44.311000,-0.055914,36.450406
44.406000,-0.055868,36.420376
44.503000,-0.055776,36.360316
44.605000,-0.055684,36.300256
44.707000,-0.055637,36.270226
44.800000,-0.055591,36.240196
44.896000,-0.055499,36.180136
44.998000,-0.055407,36.120076
45.100000,-0.055315,36.060016
45.202000,-0.055223,35.999956
45.305000,-0.055177,35.969926
45.403000,-0.055085,35.909866
45.508000,-0.055039,35.879836
45.615000,-0.054993,35.849806
45.715000,-0.054947,35.819776
45.813000,-0.054900,35.789746
45.913000,-0.054854,35.759716
46.010000,-0.054854,35.759716
46.107000,-0.054716,35.669626
46.202000,-0.054716,35.669626
46.306000,-0.054624,35.609566
46.401000,-0.054532,35.549506
46.498000,-0.054578,35.579536
46.599000,-0.054440,35.489447
46.701000,-0.054440,35.489447
46.795000,-0.054348,35.429387
46.890000,-0.054256,35.369327
46.992000,-0.054209,35.339297
47.095000,-0.054209,35.339297
47.198000,-0.054117,35.279237
47.299000,-0.054117,35.279237
47.399000,-0.054025,35.219177
47.504000,-0.053979,35.189147
47.612000,-0.053979,35.189147
47.711000,-0.053979,35.189147
47.807000,-0.053887,35.129087
47.907000,-0.053841,35.099057
48.002000,-0.053749,35.038997
48.099000,-0.053703,35.008967
48.196000,-0.053703,35.008967
48.298000,-0.053611,34.948907
48.393000,-0.053611,34.948907
48.490000,-0.053565,34.918877
48.593000,-0.053518,34.888847
48.695000,-0.053472,34.858817
48.790000,-0.053472,34.858817
48.884000,-0.053472,34.858817
48.985000,-0.053334,34.768727
49.089000,-0.053334,34.768727
49.192000,-0.053288,34.738697
49.294000,-0.053334,34.768727
49.393000,-0.053242,34.708667
49.498000,-0.053288,34.738697
49.606000,-0.053242,34.708667
49.706000,-0.053196,34.678637
49.803000,-0.053196,34.678637
49.903000,-0.053150,34.648607
50.000000,-0.053104,34.618577
50.097000,-0.053150,34.648607
50.193000,-0.053058,34.588547
50.296000,-0.053058,34.588547
50.391000,-0.053058,34.588547
50.488000,-0.053012,34.558517
50.588000,-0.052920,34.498457
50.690000,-0.052920,34.498457
50.786000,-0.052920,34.498457
50.881000,-0.052874,34.468427
50.983000,-0.052874,34.468427
51.087000,-0.052781,34.408367
51.191000,-0.052828,34.438397
51.293000,-0.052781,34.408367
51.392000,-0.052735,34.378337
51.497000,-0.052735,34.378337
51.605000,-0.052781,34.408367
51.705000,-0.052781,34.408367
51.802000,-0.052781,34.408367
51.901000,-0.052735,34.378337
51.998000,-0.052689,34.348307
52.095000,-0.052735,34.378337
52.190000,-0.052689,34.348307
52.293000,-0.052643,34.318277
52.388000,-0.052689,34.348307
52.485000,-0.052597,34.288247
52.586000,-0.052735,34.378337
52.689000,-0.052643,34.318277
52.784000,-0.052643,34.318277
52.880000,-0.052643,34.318277
52.983000,-0.052643,34.318277
53.087000,-0.052643,34.318277
53.191000,-0.052643,34.318277
53.292000,-0.052643,34.318277
53.392000,-0.052597,34.288247
53.497000,-0.052643,34.318277
53.605000,-0.052643,34.318277
53.704000,-0.052643,34.318277
53.801000,-0.052643,34.318277
53.901000,-0.052597,34.288247
53.997000,-0.052597,34.288247
54.094000,-0.052643,34.318277
54.190000,-0.052643,34.318277
54.293000,-0.052597,34.288247
54.388000,-0.052597,34.288247
54.485000,-0.052597,34.288247
54.584000,-0.052597,34.288247
54.468000,1.115963,34.630671
54.366000,1.116930,34.660686
54.266000,1.115963,34.630671
54.167000,1.115963,34.630671
54.068000,1.115963,34.630671
53.967000,1.115963,34.630671
53.865000,1.115963,34.630671
53.761000,1.116930,34.660686
53.660000,1.115963,34.630671
53.558000,1.116930,34.660686
53.459000,1.117897,34.690700
53.360000,1.116930,34.660686
53.265000,1.116930,34.660686
53.170000,1.116930,34.660686
53.073000,1.116930,34.660686
52.974000,1.117897,34.690700
52.875000,1.117897,34.690700
52.774000,1.116930,34.660686
52.670000,1.116930,34.660686
52.567000,1.117897,34.690700
52.468000,1.118864,34.720715
52.366000,1.118864,34.720715
52.267000,1.117897,34.690700
52.168000,1.118864,34.720715
52.069000,1.119831,34.750729
51.968000,1.118864,34.720715
51.866000,1.119831,34.750729
51.762000,1.119831,34.750729
51.661000,1.119831,34.750729
51.559000,1.119831,34.750729
51.461000,1.120799,34.780744
51.363000,1.120799,34.780744
51.266000,1.119831,34.750729
51.171000,1.120799,34.780744
51.075000,1.120799,34.780744
50.976000,1.122733,34.840772
50.877000,1.122733,34.840772
50.776000,1.122733,34.840772
50.671000,1.123700,34.870787
50.569000,1.124667,34.900801
50.470000,1.124667,34.900801
50.367000,1.125635,34.930816
50.268000,1.126602,34.960830
50.169000,1.125635,34.930816
50.069000,1.127569,34.990845
49.968000,1.127569,34.990845
49.865000,1.128536,35.020859
49.762000,1.128536,35.020859
49.661000,1.130471,35.080888
49.559000,1.130471,35.080888
49.460000,1.131438,35.110903
49.362000,1.130471,35.080888
49.266000,1.131438,35.110903
49.172000,1.132405,35.140917
49.077000,1.132405,35.140917
48.980000,1.133372,35.170931
48.880000,1.134340,35.200946
48.778000,1.135307,35.230960
48.673000,1.135307,35.230960
48.571000,1.137241,35.290989
48.472000,1.136274,35.260975
48.370000,1.139176,35.351018
48.271000,1.139176,35.351018
48.171000,1.140143,35.381033
48.072000,1.141110,35.411047
47.971000,1.142077,35.441061
47.869000,1.143044,35.471076
47.765000,1.144979,35.531105
47.665000,1.145946,35.561119
47.562000,1.145946,35.561119
47.464000,1.147880,35.621148
47.366000,1.148848,35.651163
47.271000,1.149815,35.681177
47.175000,1.149815,35.681177
47.079000,1.150782,35.711192
46.981000,1.152716,35.771220
46.882000,1.152716,35.771220
46.780000,1.153684,35.801235
46.678000,1.155618,35.861264
46.576000,1.157552,35.921293
46.477000,1.158520,35.951307
46.374000,1.158520,35.951307
46.275000,1.160454,36.011336
46.175000,1.161421,36.041350
46.076000,1.163356,36.101379
45.974000,1.163356,36.101379
45.872000,1.165290,36.161408
45.769000,1.167225,36.221437
45.669000,1.167225,36.221437
45.567000,1.169159,36.281466
45.469000,1.170126,36.311481
45.372000,1.172061,36.371509
45.276000,1.173028,36.401524
45.183000,1.174962,36.461553
45.086000,1.176897,36.521582
44.988000,1.177864,36.551596
44.888000,1.179798,36.611625
44.786000,1.181733,36.671654
44.684000,1.182700,36.701668
44.582000,1.184634,36.761697
44.482000,1.186569,36.821726
44.379000,1.187536,36.851741
44.280000,1.188503,36.881755
44.180000,1.190438,36.941784
44.082000,1.192372,37.001813
43.980000,1.194306,37.061842
43.878000,1.195274,37.091856
43.774000,1.197208,37.151885
43.674000,1.198175,37.181900
43.571000,1.200110,37.241928
43.473000,1.201077,37.271943
43.375000,1.203978,37.361986
43.280000,1.203978,37.361986
43.187000,1.205913,37.422015
43.092000,1.207847,37.482044
42.996000,1.209782,37.542073
42.898000,1.210749,37.572087
42.794000,1.213650,37.662131
42.688000,1.215585,37.722160
42.585000,1.217519,37.782189
