Angle (deg)	X Position (cm)	Height (um)
0.000000	20.506000	867.000000
0.000000	20.599000	865.000000
0.000000	20.697000	865.000000
0.000000	20.798000	865.000000
0.000000	20.897000	863.000000
0.000000	20.995000	863.000000
0.000000	21.096000	863.000000
0.000000	21.198000	861.000000
0.000000	21.299000	860.000000
0.000000	21.400000	860.000000
0.000000	21.505000	859.000000
0.000000	21.605000	859.000000
0.000000	21.703000	859.000000
0.000000	21.808000	858.000000
0.000000	21.915000	857.000000
0.000000	22.016000	857.000000
0.000000	22.117000	857.000000
0.000000	22.219000	856.000000
0.000000	22.319000	855.000000
0.000000	22.417000	857.000000
-9.843750	21.903000	932.000000
-9.843750	21.803000	932.000000
-9.843750	21.704000	933.000000
-9.843750	21.604000	933.000000
-9.843750	21.504000	934.000000
-9.843750	21.402000	934.000000
-9.843750	21.302000	935.000000
-9.843750	21.206000	935.000000
-9.843750	21.112000	936.000000
-9.843750	21.015000	937.000000
-9.843750	20.914000	937.000000
-9.843750	20.811000	937.000000
-9.843750	20.709000	940.000000
-9.843750	20.606000	939.000000
-9.843750	20.506000	940.000000
-9.843750	20.406000	941.000000
-9.843750	20.307000	944.000000
-9.843750	20.207000	944.000000
-9.843750	20.108000	944.000000
-9.843750	20.006000	944.000000
-9.843750	19.904000	946.000000
-9.843750	19.805000	947.000000
-9.843750	19.706000	948.000000
-9.843750	19.606000	948.000000
-9.843750	19.505000	949.000000
-9.843750	19.404000	951.000000
-9.843750	19.304000	952.000000
-9.843750	19.208000	952.000000
-9.843750	19.112000	954.000000
-9.843750	19.014000	955.000000
-9.843750	18.913000	955.000000
-9.843750	18.813000	956.000000
-9.843750	18.712000	958.000000
-9.843750	18.609000	959.000000
-9.843750	18.509000	959.000000
-9.843750	18.409000	961.000000
-9.843750	18.309000	963.000000
-9.843750	18.209000	964.000000
-9.843750	18.110000	966.000000
-9.843750	18.006000	966.000000
-9.843750	17.906000	968.000000
-9.843750	17.806000	969.000000
-9.843750	17.708000	969.000000
-9.843750	17.608000	972.000000
-9.843750	17.508000	973.000000
-9.843750	17.407000	974.000000
-9.843750	17.307000	975.000000
-9.843750	17.211000	978.000000
-9.843750	17.115000	979.000000
-9.843750	17.018000	980.000000
-9.843750	16.918000	982.000000
-9.843750	16.816000	983.000000
-9.843750	16.715000	985.000000
-9.843750	16.612000	987.000000
-9.843750	16.511000	989.000000
-9.843750	16.411000	990.000000
-9.843750	16.312000	991.000000
-9.843750	16.211000	993.000000
-9.843750	16.112000	994.000000
-9.843750	16.010000	996.000000
-9.843750	15.909000	998.000000
-9.843750	15.809000	999.000000
-9.843750	15.710000	1002.000000
-9.843750	15.610000	1003.000000
-9.843750	15.511000	1005.000000
-9.843750	15.409000	1007.000000
-9.843750	15.310000	1009.000000
-9.843750	15.213000	1011.000000
-9.843750	15.119000	1012.000000
-9.843750	15.023000	1015.000000
