X,Y,Z
43.57,25.90990991,0
43.728,25.90990991,0
43.898,25.90990991,0
44.059,25.90990991,0
44.223,25.84984985,0
44.382,25.87987988,0
44.528,25.87987988,0
44.677,25.87987988,0
44.843,25.93993994,0
45.001,25.90990991,0
45.165,25.90990991,0
45.325,25.84984985,0
45.489,25.84984985,0
45.647,25.87987988,0
45.81,25.90990991,0
45.978,25.87987988,0
46.14,25.81981982,0
46.301,25.90990991,0
46.455,25.90990991,0
46.598,25.87987988,0
46.76,25.87987988,0
46.92,25.90990991,0
47.083,25.90990991,0
47.243,25.87987988,0
47.403,25.90990991,0
47.568,25.87987988,0
47.725,25.87987988,0
47.893,25.87987988,0
48.055,25.87987988,0
48.217,25.87987988,0
48.374,25.90990991,0
48.521,25.87987988,0
48.672,25.87987988,0
48.839,25.87987988,0
48.995,25.90990991,0
49.16,25.90990991,0
49.32,25.87987988,0
49.485,25.84984985,0
49.644,25.87987988,0
49.805,25.84984985,0
49.973,25.84984985,0
50.134,25.78978979,0
50.293,25.84984985,0
50.442,25.87987988,0
50.592,25.87987988,0
50.753,25.87987988,0
50.913,25.87987988,0
51.074,25.87987988,0
51.238,25.84984985,0
51.398,25.87987988,0
51.562,25.84984985,0
51.72,25.87987988,0
51.889,25.90990991,0
52.05,25.87987988,0
52.212,25.87987988,0
52.372,25.84984985,0
52.519,25.90990991,0
52.671,25.81981982,0
52.837,25.87987988,0
52.996,25.90990991,0
53.159,25.93993994,0
53.319,25.93993994,0
53.486,25.90990991,0
53.643,25.90990991,0
53.805,25.87987988,0
53.974,25.87987988,0
54.135,25.87987988,0
54.296,25.90990991,0
54.452,25.90990991,0
54.599,25.93993994,0
54.761,25.90990991,0
54.92,25.96996997,0
55.081,25.93993994,0
55.241,26,0
55.399,26.12012012,0
55.563,26.3003003,0
55.72,26.54054054,0
55.888,29.63363363,0
56.049,30.14414414,0
56.21,30.44444444,0
56.369,30.65465465,0
56.513,30.8048048,0
56.661,30.86486486,0
56.825,30.95495495,0
56.992,31.01501502,0
57.159,31.07507508,0
57.318,31.13513514,0
57.481,31.22522523,0
57.641,31.28528529,0
57.806,31.34534535,0
57.974,31.46546547,0
58.134,31.52552553,0
58.296,31.58558559,0
58.451,31.67567568,0
58.598,31.76576577,0
58.76,31.85585586,0
58.919,31.91591592,0
59.078,32.00600601,0
59.238,32.0960961,0
59.397,32.18618619,0
59.561,32.27627628,0
59.718,32.33633634,0
59.887,32.3963964,0
60.048,32.51651652,0
60.211,32.63663664,0
60.369,32.72672673,0
60.521,32.75675676,0
60.672,32.81681682,0
60.837,32.90690691,0
60.993,32.96696697,0
61.155,32.996997,0
61.315,33.08708709,0
61.481,33.11711712,0
61.637,33.23723724,0
61.8,33.2972973,0
61.967,33.32732733,0
62.128,33.38738739,0
62.289,33.47747748,0
62.444,33.53753754,0
62.593,33.5975976,0
62.755,33.62762763,0
62.912,33.74774775,0
63.071,33.74774775,0
63.232,33.77777778,0
63.392,33.83783784,0
63.557,33.8978979,0
63.715,33.92792793,0
63.884,33.98798799,0
64.046,34.01801802,0
64.208,34.07807808,0
64.365,34.10810811,0
64.516,34.10810811,0
64.669,34.16816817,0
64.833,34.1981982,0
64.989,34.25825826,0
65.152,34.31831832,0
65.313,34.31831832,0
65.477,34.34834835,0
65.635,34.37837838,0
65.797,34.40840841,0
65.964,34.46846847,0
66.124,34.4984985,0
66.285,34.4984985,0
66.44,34.52852853,0
66.588,34.52852853,0
66.751,34.55855856,0
